"DashDAQ Log File"

"Format:","Simple CSV 1.0.0"
"Filename:","/mmc/logs/log0001.csv"
"Started:","Thu Dec  4 18:19:20 2025"

"Signal","Driver","ID","Name","Units","Description","Color"
0,"a-GenericOBD2","a:10","Speed","kph","Vehicle Speed","#CD0000"
1,"a-GenericOBD2","a:9","RPM","RPM","Engine RPM","#CD0000"
2,"a-GenericOBD2","a:2","ECT","°C","Engine Coolant Temperature","#CD0000"
3,"a-GenericOBD2","a:12","IAT","°C","Intake Air Temperature","#CD0000"
4,"a-GenericOBD2","a:8","MAP","kpa","Intake Manifold Absolute Pressure","#CD0000"
5,"d-zt2","d:1","AFR","","Air/Fuel Ratio","#FFFFFF"

"Time","Speed","RPM","ECT","IAT","MAP","AFR",
"ms","kph","RPM","°C","°C","kpa","",
-3015,0,654.250000,86,55,99.0,
-2986,0,655.000000,86,55,100.0,
-2956,0,655.000000,86,55,100.0,
-2926,0,649.750000,86,55,99.0,
-2896,0,646.750000,86,55,100.0,
-2866,0,646.750000,86,55,99.0,
-2830,0,644.000000,86,55,100.0,
-2797,0,644.000000,86,55,100.0,
-2796,0,644.500000,86,55,100.0,
-2758,0,646.500000,86,55,100.0,
-2729,0,646.500000,86,55,99.0,
-2700,0,650.250000,86,55,99.0,
-2676,0,648.750000,86,55,100.0,
-2646,0,648.750000,86,55,99.0,
-2616,0,651.000000,86,55,99.0,
-2577,0,651.000000,86,55,100.0,
-2576,0,655.250000,86,55,100.0,
-2546,0,655.250000,86,55,99.0,
-2515,0,658.500000,86,55,99.0,
-2486,0,656.000000,86,55,100.0,
-2456,0,656.000000,86,55,99.0,
-2426,0,654.750000,86,55,100.0,
-2397,0,654.000000,86,55,100.0,
-2396,0,654.000000,86,55,100.0,
-2376,0,654.000000,86,55,99.0,
-2347,0,654.000000,86,55,100.0,
-2346,0,655.000000,86,55,100.0,
-2326,0,655.000000,86,55,99.0,
-2307,0,655.000000,86,55,100.0,
-2306,0,654.750000,86,55,100.0,
-2276,0,654.750000,86,55,99.0,
-2246,0,652.250000,86,55,100.0,
-2206,0,647.500000,86,55,100.0,
-2176,0,647.500000,86,55,100.0,
-2146,0,643.250000,86,55,99.0,
-2126,0,640.250000,86,55,100.0,
-2086,0,640.250000,86,55,100.0,
-2056,0,642.750000,86,55,100.0,
-2019,0,643.250000,86,55,100.0,
-1989,0,643.250000,86,55,99.0,
-1960,0,645.250000,86,55,100.0,
-1927,0,645.000000,86,55,100.0,
-1906,0,645.000000,86,55,99.0,
-1876,0,650.000000,86,55,99.0,
-1846,0,650.000000,86,55,99.0,
-1816,0,654.500000,86,55,99.0,
-1786,0,656.750000,86,55,100.0,
-1756,0,656.750000,86,55,99.0,
-1726,0,655.250000,86,55,99.0,
-1689,0,655.000000,86,55,100.0,
-1657,0,653.500000,86,55,100.0,
-1619,0,653.500000,86,55,99.0,
-1590,0,654.000000,86,55,99.0,
-1559,0,652.750000,86,55,100.0,
-1536,0,652.750000,86,55,99.0,
-1506,0,652.500000,86,55,99.0,
-1476,0,647.500000,86,55,99.0,
-1446,0,647.500000,86,55,99.0,
-1425,0,644.250000,86,55,100.0,
-1406,0,644.250000,86,55,99.0,
-1376,0,641.250000,86,55,100.0,
-1336,0,641.250000,86,55,100.0,
-1306,0,642.250000,86,55,99.0,
-1276,0,643.000000,86,55,100.0,
-1236,0,645.500000,86,55,100.0,
-1206,0,645.500000,86,55,99.0,
-1176,0,648.000000,86,55,100.0,
-1156,0,655.250000,86,55,100.0,
-1119,0,655.250000,86,55,99.0,
-1090,0,657.500000,86,55,100.0,
-1066,0,657.500000,86,55,99.0,
-1020,0,658.500000,86,55,99.0,
-989,0,655.500000,86,55,99.0,
-967,0,656.250000,86,55,99.0,
-966,0,656.250000,86,55,99.0,
-936,0,656.250000,86,55,99.0,
-916,0,657.500000,86,55,100.0,
-886,0,657.500000,86,55,99.0,
-867,0,658.250000,86,55,100.0,
-866,0,658.250000,86,55,100.0,
-836,0,658.250000,86,55,99.0,
-806,0,653.500000,86,55,99.0,
-786,0,649.000000,86,55,100.0,
-747,0,649.000000,86,55,99.0,
-746,0,649.000000,86,55,99.0,
-720,0,644.750000,86,55,99.0,
-696,0,644.750000,86,55,99.0,
-666,0,644.500000,86,55,99.0,
-637,0,642.250000,86,55,100.0,
-636,0,642.250000,86,55,100.0,
-616,0,642.250000,86,55,99.0,
-596,0,644.000000,86,55,100.0,
-566,0,644.000000,86,55,99.0,
-536,0,645.000000,86,55,100.0,
-516,0,645.000000,86,55,100.0,
-496,0,644.750000,86,55,100.0,
-466,0,644.750000,86,55,99.0,
-436,0,646.000000,86,55,100.0,
-416,0,653.250000,86,55,100.0,
-379,0,653.250000,86,55,100.0,
-355,0,657.250000,86,55,99.0,
-317,0,657.250000,86,55,99.0,
-285,0,658.250000,86,55,99.0,
-248,0,655.000000,86,55,99.0,
-205,0,652.500000,86,55,100.0,
-176,0,652.500000,86,55,100.0,
-146,0,652.500000,86,55,99.0,
-116,0,654.500000,86,55,100.0,
-97,0,651.500000,86,55,100.0,
-96,0,651.500000,86,55,100.0,
-66,0,651.500000,86,55,100.0,
-36,0,647.500000,86,55,100.0,
-6,0,647.500000,86,55,99.0,
23,0,643.500000,86,55,99.0,
24,0,643.500000,86,55,99.0,
64,0,642.250000,86,55,100.0,
103,0,642.250000,86,55,99.0,
134,0,639.250000,86,55,99.0,
171,0,640.750000,86,55,99.0,
201,0,642.250000,86,55,100.0,
233,0,642.250000,86,55,99.0,
270,0,645.000000,86,55,99.0,
301,0,650.250000,86,55,100.0,
333,0,655.000000,86,55,100.0,
371,0,655.000000,86,55,99.0,
400,0,656.000000,86,55,99.0,
431,0,655.500000,86,55,100.0,
454,0,655.500000,86,55,99.0,
501,0,653.250000,86,55,99.0,
534,0,654.250000,86,55,99.0,
554,0,655.750000,86,55,100.0,
584,0,655.750000,86,55,99.0,
604,0,653.750000,86,55,100.0,
633,0,653.750000,86,55,99.0,
634,0,653.750000,86,55,99.0,
664,0,647.250000,86,55,100.0,
694,0,644.500000,86,55,100.0,
724,0,644.500000,86,55,99.0,
743,0,644.500000,86,55,100.0,
744,0,643.000000,86,55,100.0,
764,0,643.000000,86,55,99.0,
794,0,645.750000,86,55,100.0,
824,0,645.750000,86,55,99.0,
854,0,645.000000,86,55,99.0,
884,0,645.750000,86,55,100.0,
914,0,645.750000,86,55,99.0,
950,0,646.750000,86,55,100.0,
951,0,646.750000,86,55,100.0,
983,0,650.000000,86,55,100.0,
1021,0,650.000000,86,55,99.0,
1050,0,653.750000,86,55,99.0,
1051,0,653.750000,86,55,99.0,
1081,0,657.250000,86,55,100.0,
1113,0,657.250000,86,55,100.0,
1135,0,657.500000,86,55,99.0,
1164,0,657.250000,86,55,100.0,
1184,0,657.250000,86,55,99.0,
1210,0,654.000000,86,55,100.0,
1244,0,654.000000,86,55,99.0,
1245,0,654.000000,86,55,99.0,
